image_id,image_name,coco_supercategs,coco_categs,coco_areas,coco_captions
3521,3521.jpg,"['person', 'person', 'person', 'indoor', 'person']","['person', 'person', 'person', 'teddy bear', 'person']","[2748.107300000001, 1432.7343000000003, 1101.30055, 80006.353, 942.0613500000006]","['Two brown teddy bears sitting on floor next to a piano.', 'Two bears that are sitting down next to a piano.', 'Two enormous teddy bears lie in an enclosure by a white piano of a store.', 'Two large brown and yellow bears sitting out on display. ', 'Two teddy bears are sitting beside a white piano.']"
4442,4442.jpg,"['furniture', 'person']","['bed', 'person']","[202191.51599999997, 24809.472049999997]","['A little girl sitting on top of a bed near pillows.', 'A girl sitting in the middle of a bed on the sheets. ', 'A young girl sitting on a hotel bed.', 'A little girl is sitting on a white bed', 'A girl sitting on a made bed in a bedroom ']"
5028,5028.jpg,"['furniture', 'electronic', 'appliance', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'kitchen', 'electronic', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'person', 'furniture', 'indoor', 'indoor', 'indoor']","['couch', 'laptop', 'oven', 'book', 'book', 'book', 'book', 'book', 'book', 'book', 'vase', 'vase', 'bowl', 'remote', 'book', 'book', 'book', 'book', 'vase', 'person', 'chair', 'book', 'book', 'book']","[5597.679750000002, 4803.347850000003, 7442.96575, 85.1703000000003, 204.78820000000002, 78.33784999999955, 141.1280500000005, 53.92475000000074, 200.1836000000002, 177.1969499999998, 192.39844999999994, 549.6722499999998, 1072.1124000000007, 88.94379999999971, 159.27179999999987, 41.42394999999964, 144.70754999999969, 201.66625000000062, 364.7186000000002, 6823.358949999997, 4660.48315, 122.5481999999998, 157.39834999999988, 16944]","['A woman sitting on top of a green couch near a window.', 'A young woman eating and working on a laptop.', 'A person plays on a laptop in a living room. ', 'A man  looking at his laptop while sitting in a well furnished room. ', 'a man sitting on a couch and looking at a laptop in front of him ']"
5277,5277.jpg,"['kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'furniture', 'appliance', 'kitchen', 'kitchen', 'kitchen']","['bottle', 'bottle', 'bottle', 'bottle', 'bottle', 'toilet', 'sink', 'bottle', 'bottle', 'bottle']","[1104.0962500000003, 1185.0212499999998, 928.6627000000003, 613.0971499999999, 609.4364500000004, 35222.19670000001, 9992.130999999996, 535.1034500000001, 211.69789999999963, 231.2907499999997]","['A white toilet sitting next to a bath tub and a sink.', 'A small bathroom is shown with a violet shower curtain.', 'A bathroom is shown with a toilet and sink.', 'A toilet with a storage cabinet positioned over it next to a sink.', 'A rest room with a shelf filled with items above a toilet.']"
5684,5684.jpg,"['vehicle', 'vehicle', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'vehicle']","['car', 'bus', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'car']","[568.9701999999996, 19888.871550000003, 302.7810499999998, 33.2100499999999, 34.04624999999975, 22.543799999999887, 17.94300000000005, 61.56310000000005, 92.01499999999986, 34.62465000000036]","['A blue bus going down a street with houses and buildings on either side.', 'A bus traveling down the street near a bunch of buildings', 'The passenger bus is travelling down the street.', 'A bus driving down a city street lined with buildings.', 'a public transit bus on a city street ']"
6053,6053.jpg,"['person', 'sports']","['person', 'skis']","[15052.483949999998, 410.9528999999999]","['A guy on skis squatting while going down a hill.', 'A skier wears an orange and black jacket and holds ski poles.', 'A man on skis heading down the slope', 'A man skiing down the side of a snow covered slope.', 'A skier is coming down the slope on a cloudy day.']"
6178,6178.jpg,"['furniture', 'appliance']","['toilet', 'sink']","[6351.1304, 2920.7491499999996]","['A white toilet sitting next ot a bathroom sink under a mirror.', 'A bathroom with a vanity, mirror, toilet and bathtub.', 'A typical residential bathroom with sink, toilet and shower over the tub', 'a bath room with a toilet and a mirror ', 'an empty bathroom with a large mirror behind the sink']"
6765,6765.jpg,['vehicle'],['train'],[44188.715349999984],"['A train is going down the tracks on a mountainside.', 'A small train is on some tracks near a mountain.', 'Two old train cars sitting on a track near a mountain.', 'A train traveling down a track n the middle of a hilly field.', 'A large long train on a steel track.']"
7048,7048.jpg,"['animal', 'animal', 'animal', 'animal', 'animal']","['bird', 'bird', 'bird', 'bird', 'bird']","[1236.8806499999998, 1755.1252500000005, 1317.6600999999998, 1765.5854499999996, 1234.62875]","['five gray and white birds sand and water', 'A group of seagulls standing near the ocean water.', 'Flock of birds standing on a shore line of a beach.', 'Five birds standing in the sand near a body of water.', 'a small group of ducks on the edge of water']"
7567,7567.jpg,['vehicle'],['airplane'],[59105.031999999985],"['A large passenger jet flying through the blue sky.', 'a commercial passenger jet airplane in the sky', 'A large commercial plane flying in the blue sky.', 'A jet flying in the clear blue sky', 'large airplane in mid air on a clear blue day']"
7932,7932.jpg,"['person', 'person', 'sports', 'sports', 'person']","['person', 'person', 'tennis racket', 'tennis racket', 'person']","[9205.343700000001, 3528.056300000001, 1114.47605, 220.33615000000015, 582.954050000001]","['A woman playing tennis on an asphalt court.', 'A girls tennis team competes on asphalt courts.', 'A girl wearing a blue tennis skirt playing tennis.', 'A woman holds a tennis raquet during a match.', 'Two women playing tennis doubles on a tennis court.']"
8027,8027.jpg,['animal'],['bird'],[14057.723850000006],"['a yellow, black and white bird perched in a tree', 'Small colorful bird sitting on a green tree.', 'A bird perched on top of a tree filled with leaves.', 'Small bird sitting on branch singing on sunny day.', 'Bird with open beak perched on a tree branch.']"
8053,8053.jpg,"['outdoor', 'person', 'accessory']","['fire hydrant', 'person', 'handbag']","[5160.401700000001, 8871.893450000001, 239.93815000000006]","['A woman walking down a sidewalk past a fire hydrant.', 'A yellow fire hydrant curbside on a street; a woman carrying shopping bags walking by it.', 'A water hydrant and a lady carrying plastic bags', 'A woman walking on a sidewalk past a yellow fire hydrant.', 'A woman walks down the sidewalk in front of a red wall and a yellow fire hydrant.']"
8471,8471.jpg,['vehicle'],['airplane'],[36686.07925000001],"['A white jet with blue and orange detailing sits on the runway. ', 'A Icelandair Airliner is preparing for take off.', 'An airplane sitting at the end of a runway preparing for takeoff.', 'A passenger jet taxiing onto the airport runway.', 'The airplane is on the runway waiting to take off.']"
8998,8998.jpg,['indoor'],['clock'],[1221.6443],"['a clock on a tall building with a sky background ', 'A large architectural structure with a large clock on it is surrounded by grey clouds in the background.  ', 'A large building with a clock stands out against the sky.', 'A tall building in a city with a clock on top.', 'A large clock tower underneath a bunch of clouds.']"
9199,9199.jpg,"['furniture', 'indoor']","['bed', 'clock']","[125570.76315, 53.43035000000007]","['A room with a bed that has white and red pillows.', 'A view of a hotel room showing a kings sized bed.', 'a bedroom with a bed, night stand, closet and lamp.', 'A photo of an clean bedroom with the bed organized.', 'A well done bed with pillows at the center of the room']"
9983,9983.jpg,"['furniture', 'person', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'electronic', 'kitchen']","['dining table', 'person', 'cup', 'cup', 'knife', 'spoon', 'bowl', 'cell phone', 'wine glass']","[49408.06185000001, 115974.01325, 2974.5263499999987, 3306.0709500000007, 855.6457500000008, 298.3904000000021, 915.1315999999999, 628.6152000000009, 2268.8182500000003]","['Two woman are sitting at a table with food. ', 'A mother and her grown daughter are sitting in an ocean-side Asian restaurant and smiling for the camera. ', 'Two women sitting at a table with a plate of food.', 'A woman with her head turned staring at the camera.', 'Two women smile in a restaurant near the sea.']"
9987,9987.jpg,"['person', 'person', 'person', 'person', 'person']","['person', 'person', 'person', 'person', 'person']","[9000.658499999998, 1592.6298000000008, 1404.1893499999999, 124.02170000000008, 219.81065000000007]","['a helicopter is sitting on a runway on a boat', 'A helicopter spins up its blades on the deck of am aircraft carrier.', 'A person is leaning out the door of a helicopter.', 'A helicopter is landing on a battle ship.', 'A helicopter sitting on top of an aircraft.']"
10046,10046.jpg,"['food', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'food', 'food']","['hot dog', 'bottle', 'spoon', 'spoon', 'bowl', 'bowl', 'bowl', 'bowl', 'bowl', 'bowl', 'spoon', 'spoon', 'spoon', 'sandwich', 'hot dog']","[44717.0985, 4738.451349999999, 387.5058499999995, 537.1475499999998, 7925.686750000002, 3189.1501500000004, 3479.3437500000005, 5238.639949999999, 2594.32115, 1059.1706, 454.36664999999937, 1089.5754499999996, 521.52215, 61925.627299999986, 61644.439500000015]","['Two sandwiches sitting on top of papers on a table.', 'Two sausages sit in buns on a counter.', 'Two hot dogs with mustard and sauerkraut. ', 'Two hot dogs on gourmet bread with sauerkraut. ', 'Two large hot dogs with sour kraut and mustard sitting on a set of napkins.']"
10710,10710.jpg,"['person', 'person', 'person', 'sports']","['person', 'person', 'person', 'baseball bat']","[15921.909000000005, 29689.12035, 19218.43624999999, 1064.0028499999983]","['A baseball player holding a bat next to home plate.', 'Baseball field with batter and umpire on home plate.', 'An umpire, catcher and batter wait for a pitch.', 'A baseball player prepares to swing the bat to hit the ball. ', 'There is a baseball game on and a player is at bat']"
10743,10743.jpg,"['accessory', 'person']","['umbrella', 'person']","[7686.664750000001, 12214.4137]","['A older woman holding a yellow umbrella near an orange building. ', 'A pretty young lady holding an umbrella near a building.', 'a woman in a black skirt and a white umbrella ', 'The woman walks toward a staircase with a yellow umbrella.', 'A woman walks while holding a yellow umbrella.']"
10903,10903.jpg,"['furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'indoor', 'furniture', 'furniture', 'furniture']","['potted plant', 'chair', 'chair', 'chair', 'dining table', 'vase', 'chair', 'chair', 'chair']","[15723.52215, 51183.57905000001, 2678.2282499999997, 2035.8445000000002, 33693.07105, 2423.2758, 2440.405049999999, 7593.3718499999995, 15523.856299999996]","['A wooden table surrounded by wooden chairs near a window.', 'This dining room table has a oil lamp and a vase of flowers.', 'A long dark wood dining table and matching chairs is the focal point of a sunlight dining room. ', 'A dining room table has the light reflecting in.', 'a large room that has a big kitchen table in it']"
11299,11299.jpg,['vehicle'],['airplane'],[30908.188849999988],"['The green and red airplane is sitting on the runway.', 'A green, red, and white plane going down a runway.', 'a big commuter plane sits parked on a run way ', 'A plane riding on an airport runway by some buildings.', 'a green red and white jet on a runway']"
11358,11358.jpg,"['person', 'sports']","['person', 'surfboard']","[20251.011000000013, 7698.073599999999]","['A man on a surfboard surfing in the ocean.', 'A person rides a surfboard in the ocean waves.', 'Man surfing on breaking wave in open ocean.', 'A surfer riding a wave in the ocean.', 'a man is riding on a surfboard on the water']"
11373,11373.jpg,['animal'],['sheep'],[158455.08300000004],"['A woolly sheep seen through a chicken-wire fence in an overgrown pasture.', 'A lamb standing behind a wire fence on a grassy field.', 'Sheep with bunched wool looking out past the wire fence.', 'A sheep is staring through a wire fence in a fielded area.', 'A sheep looking through the slats of a wired fence.']"
11856,11856.jpg,"['person', 'outdoor', 'accessory', 'accessory', 'food', 'person', 'accessory']","['person', 'bench', 'handbag', 'handbag', 'broccoli', 'person', 'handbag']","[8502.214999999998, 12743.24755, 1195.0249499999995, 325.7796999999998, 875.332149999999, 8709.39815, 1054.1373999999998]","['Two women sitting on a metal bench next to a fence.', 'Two women sitting on a bench by the side of the road', 'Two women sitting on a metal bench next to a large sign.', 'there are two woman sitting apart on a bench', 'Two ladies are sitting on a bench in front of an advertisement.']"
12795,12795.jpg,"['person', 'sports']","['person', 'tennis racket']","[57471.66185, 4444.576099999999]","['A man holding a tennis racket with two hands on the green ground.  ', 'A man wearing a bright yellow shirt, black shorts and white cap getting ready to hit the tennis ball with his racket.', 'A man standing on a tennis court holding a racquet.', 'A male tennis player on the court holding a tennis racket.', 'A man with a tennis racket holds it behind him.']"
13969,13969.jpg,"['person', 'person', 'kitchen', 'food', 'food', 'kitchen', 'kitchen']","['person', 'person', 'knife', 'pizza', 'pizza', 'cup', 'cup']","[23869.461399999997, 9742.440999999999, 2611.6575, 58256.32185, 17788.6583, 2482.2916, 4257.404450000001]","['A woman gives a thumbs-up signal while taking a slice of pizza. ', 'A pizza slice is being removed from a pie.', 'A girl gives a pizza the thumbs up. ', 'A large cheese and tomato pizza on a metal serving tray.', 'A girl poses with a pizza pie while she takes a piece']"
14269,14269.jpg,"['person', 'person', 'accessory', 'accessory', 'sports', 'sports', 'sports', 'sports']","['person', 'person', 'backpack', 'backpack', 'skis', 'skis', 'skis', 'skis']","[3196.5612000000006, 172.23209999999946, 704.9794000000005, 28.717300000000083, 119.81045000000016, 85.32919999999949, 5.519700000000048, 45.31020000000013]","['a person on skis making her way up a snowy mountain ', 'Cross country skiers make their way down a mountain pass.', 'A person cross country skiing on a trail.', 'a person in skies is standing in the snow', 'A person riding skis up the side of a mountain.']"
16314,16314.jpg,['person'],['person'],[45070.364700000006],"['a person in sport wear with a frisbee in a field', 'a man playing with a Frisbee in a field ', 'A african american playing frisbe in the park.', 'A man holding a frisbee in a field.', 'A man with a Frisbee in a large grassy area near some trees.']"
16898,16898.jpg,"['indoor', 'indoor']","['clock', 'clock']","[1302.4154999999998, 1335.199949999999]","[""A large clock tower with two golden clocks on it's sides."", 'A very ornate clock tower has the clock appearing to be made of real gold. ', 'A building clock tower with ornate gold frame.', 'A large clock tower with a spiral stair case.', 'A large clock tower stands tall with a gold lined clock.']"
17935,17935.jpg,"['person', 'sports']","['person', 'surfboard']","[2537.4785999999986, 213.64989999999972]","['The man is about ready to surf on the water. ', 'A person who is riding a surfboard in the ocean.', 'A woman that is laying down on a surfboard.', 'A man riding on top of a surfboard on the ocean.', 'a man on a surfboard waiting for a wave to come ']"
17967,17967.jpg,"['furniture', 'person', 'person', 'person', 'person', 'person', 'kitchen', 'kitchen', 'electronic', 'electronic', 'kitchen', 'kitchen', 'furniture', 'furniture', 'electronic', 'electronic', 'electronic', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'indoor', 'electronic', 'electronic']","['couch', 'person', 'person', 'person', 'person', 'person', 'cup', 'cup', 'remote', 'remote', 'cup', 'cup', 'chair', 'chair', 'tv', 'remote', 'cell phone', 'book', 'book', 'book', 'book', 'book', 'book', 'book', 'book', 'book', 'book', 'book', 'book', 'remote', 'remote']","[43818.6888, 33275.359449999996, 10149.448099999998, 8750.344599999997, 22063.213450000003, 5732.546949999998, 514.1911499999993, 871.5817500000005, 105.77140000000013, 330.0720000000007, 565.5725000000007, 536.61755, 2680.779, 12085.392200000004, 1853.2254999999996, 57.628300000000195, 315.0888500000001, 204.99760000000003, 137.02294999999918, 146.41544999999968, 93.47974999999853, 264.3536, 284.37965000000014, 99.09900000000017, 109.67684999999942, 211.1660499999994, 127.92579999999992, 117.63779999999979, 342.72595000000007, 69.77910000000017, 237.75799999999933]","['Several people are sitting around playing a video game.', 'Many people are relaxing and playing some game in the living room. ', 'A group of people in a living room sitting on the couch talking.', 'A group of people sitting around a living room together.', 'A bunch of people in a room holding some remotes.']"
18078,18078.jpg,"['indoor', 'indoor']","['clock', 'clock']","[909.0262500000002, 581.1849499999996]","['A city at night with a large clock tower.', 'Nighttime scene of a lit up clock tower above some dark buildings.', 'Large clock tower sitting on top of a castle at night. ', 'A large white clock tower next to a  tall building.', 'A clock tower looming above infrastructure at night.']"
18367,18367.jpg,"['animal', 'person']","['horse', 'person']","[44158.03675, 27617.22045]","['A dour young man sits on a horse.', 'a man with a hat sitting on a horse', 'A man in hat riding on a brown horse on dirt path.', 'A man is riding a small horse in the grass.', 'A man riding a donkey using a riding crop. ']"
19863,19863.jpg,['vehicle'],['train'],[97673.51179999998],"['A large long train on a steel track.', 'A large old train inside of a building.', 'a large train is inside of a museum facility', 'A train sitting inside of a train station.', 'a train being worked on in a train manufacturer']"
20517,20517.jpg,"['indoor', 'indoor', 'vehicle', 'vehicle', 'outdoor', 'outdoor', 'outdoor']","['clock', 'clock', 'car', 'car', 'traffic light', 'traffic light', 'traffic light']","[486.42904999999956, 282.66379999999964, 489.8681999999997, 129.3639000000005, 388.08305000000075, 180.44980000000052, 123.55189999999973]","['A large building with a clock tower in the center of it.', 'A time-lapse photo of a building at night. ', 'big building with a clock at the top', 'A city building is lit up with bright lights during the night.', 'A car drives by a clock tower during the night time.']"
21095,21095.jpg,"['food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food']","['broccoli', 'broccoli', 'broccoli', 'broccoli', 'broccoli', 'carrot', 'carrot', 'carrot', 'broccoli', 'carrot']","[13724.85065, 4009.2221, 13077.740199999995, 3533.712050000001, 1251.56665, 11549.413100000002, 2313.3088500000003, 1414.2989500000006, 3406.4509499999986, 3518.3553000000024]","['A very close up view of some very tasty looking food.', 'Chicken,broccoli, and rice with sauce on it lying on a plate.', 'broccoli and carrots in Chinese food with rice', 'Asian food consisting of carrots, rice, broccoli, and meat in a red sauce', 'A plate with rice and veggies covered in sauce.']"
21718,21718.jpg,"['kitchen', 'kitchen', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food']","['spoon', 'bowl', 'carrot', 'carrot', 'carrot', 'carrot', 'carrot', 'carrot', 'carrot', 'carrot', 'broccoli', 'broccoli', 'broccoli', 'broccoli', 'broccoli', 'broccoli', 'broccoli', 'carrot', 'carrot', 'carrot', 'carrot', 'carrot', 'carrot']","[8620.0897, 106051.96265000006, 1311.539949999999, 1485.1792500000004, 1248.240200000001, 1837.4940499999998, 331.1922500000002, 1265.9845999999989, 695.8486000000001, 1502.0929999999994, 3400.7223000000004, 2541.9518499999995, 8235.7832, 1502.2110000000002, 1918.3738500000004, 3031.1130999999996, 18296.552499999998, 1097.88895, 1311.6388999999995, 157.76035000000027, 930.7795500000003, 1877.3043500000003, 37590]","['A bowl of cooked carrots and broccoli with a spoon.', 'A blue dish filled with steamed carrots and broccoli.', 'A blue bowl that is full of brocolli and carrots.', 'A bowl of carrots and broccoli is served with a spoon.', 'A big bowl of steamed broccoli and carrots']"
21826,21826.jpg,"['person', 'person']","['person', 'person']","[1168.9039, 31.60164999999992]","['A woman is skiing down a snowy slope with mountains around her.', 'a person riding skis on a snowy slope', 'A person that is skiing in the snow.', 'A person skiing on top of a mountain covered in snow. ', 'Skier coming down a mountain full of snow.']"
22256,22256.jpg,"['kitchen', 'kitchen', 'indoor', 'furniture', 'furniture', 'furniture', 'kitchen', 'food', 'food', 'food', 'food', 'food', 'food', 'accessory', 'kitchen']","['bottle', 'bottle', 'clock', 'chair', 'chair', 'dining table', 'bowl', 'apple', 'orange', 'orange', 'orange', 'apple', 'apple', 'handbag', 'bowl']","[471.43100000000027, 814.1519500000005, 1823.2163, 14668.307150000004, 5021.299800000004, 10557.737200000001, 1249.916549999998, 140.2425999999998, 287.16015000000016, 190.42435000000006, 85.42255000000016, 130.86450000000042, 385.82330000000053, 8758.138849999998, 237.79614999999964]","['a kitchen with pots and pans hanging from the ceiling', 'A kitchen counter with chairs and various pots.', 'The breakfast bar and pots and pans rack in a modern kitchen', 'The eat-in kitchen and pot rack show the efficient use of the small space in this apartment.', 'Many pots and pans have been hung over a kitchen bar.']"
22627,22627.jpg,"['animal', 'furniture']","['cat', 'bed']","[80897.13559999998, 147995.96159999998]","['a cat rests its head under a blanket', 'Light is shining on a cat that is peaking out from underneath a blanket.', 'A cat laying on top of a bed.', 'A gray cat doses underneath the bed covers.', 'A cat peaks out from under a blanket.']"
22696,22696.jpg,"['furniture', 'furniture', 'person', 'person', 'person', 'person', 'person', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'kitchen', 'food', 'food', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'person', 'person', 'kitchen', 'kitchen', 'person', 'food', 'furniture', 'kitchen']","['chair', 'dining table', 'person', 'person', 'person', 'person', 'person', 'cup', 'cup', 'cup', 'cup', 'cup', 'knife', 'knife', 'pizza', 'pizza', 'chair', 'potted plant', 'potted plant', 'dining table', 'dining table', 'dining table', 'person', 'person', 'cup', 'fork', 'person', 'pizza', 'chair', 'cup']","[397.1947499999998, 66172.1325, 55433.93859999999, 44271.132549999995, 5712.615100000002, 2157.285349999999, 2116.0735000000004, 11222.742199999999, 4595.978100000004, 5651.648200000002, 9069.556699999994, 3697.323399999999, 578.2124000000007, 610.9406499999994, 9662.453649999998, 2692.2294500000025, 242.65204999999986, 3920.3934999999983, 11291.865600000001, 499.17235000000056, 5323.1377999999995, 409.77310000000017, 1180.6600499999995, 3073.0252499999992, 1837.0256500000003, 119.68595000000016, 399.90439999999955, 148.70625000000004, 498.40554999999944, 3879.33985]","['two man sit at a table in a restaurant ', 'Two men are sitting side by side as they are eating and smiling, they both are cutting their food with a knife.', 'Two men sitting at a table eating pizza.', 'Two young men sitting next to each other sharing a meal.', 'Two guys in a bar eating pizza and drinking beer. ']"
22964,22964.jpg,"['sports', 'person', 'person', 'sports']","['sports ball', 'person', 'person', 'tennis racket']","[336.17925, 26894.027449999998, 8245.643400000003, 4739.818399999999]","['A woman standing on a tennis court holding a racquet.', 'A woman trying to hit a ball with a racquet.', 'A tennis player races to return a serve.', 'a woman in a black dress is playing tennis', 'A female tennis player is hitting the ball with her racquet.']"
23392,23392.jpg,"['accessory', 'electronic', 'person', 'outdoor', 'accessory']","['umbrella', 'cell phone', 'person', 'bench', 'handbag']","[19375.9203, 211.06534999999985, 48734.296449999994, 23132.7068, 2229.0721499999995]","['a woman is sitting outside with a blue umbrella', 'A woman with an umbrella sits on a bench checking her phone.', 'a woman sits at a subway station bench and looks at her phone', 'A woman sitting on a bench looking at her cell phone ', 'A woman texting on her phone on a  bench.']"
24287,24287.jpg,"['animal', 'animal']","['giraffe', 'giraffe']","[83290.15590000001, 1500.53305]","['a head shot of a giraffe with another giraffe in the background', ""A giraffe's head looks right at the camera"", 'A captive giraffe looks accusingly at the camera. ', 'An up close photo of the face of a giraffe', 'A tan and white baby giraffe in a park zoo.']"
26029,26029.jpg,"['furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'person', 'person', 'furniture', 'furniture', 'electronic', 'furniture', 'furniture', 'indoor', 'indoor', 'electronic', 'electronic', 'person']","['potted plant', 'chair', 'chair', 'chair', 'chair', 'dining table', 'person', 'person', 'potted plant', 'potted plant', 'laptop', 'potted plant', 'potted plant', 'vase', 'vase', 'laptop', 'laptop', 'person']","[6754.32875, 5782.861700000001, 2800.6985000000004, 1683.0896999999989, 350.9652499999993, 6008.186, 4655.314450000002, 1071.9149999999993, 401.7768000000001, 1352.8900500000004, 627.4990000000003, 590.0118000000002, 2480.89415, 208.97230000000016, 152.59864999999985, 224.94564999999955, 202.73610000000073, 4290.6176]","['A couple of men sitting across from each other at a table.', 'Three people sitting at a table on their laptops.', 'A group of men sitting around a wooden table outside underneath an arbor.', 'The men are sitting around the table getting work done.', 'Three men busy working on their laptops outside ']"
26388,26388.jpg,"['accessory', 'person']","['tie', 'person']","[2924.6819999999993, 55828.558]","['A man pauses as he speaks into a microphone.', 'A man with glasses and in a suit talking in front of a microphone. ', 'A man sits in front of a microphone. ', 'A man is speaking while a picture is taken of him.', 'a close up of a person sitting in front of a microphone ']"
